PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


  1.;CNTB; 100.00 %; 100.00 %;
  2.;GGST; 100.00 %; 100.00 %;
  3.;MAMIP; 100.00 %; 100.00 %;
  4.;MBAI;  80.00 %;  80.00 %;
  5.;MLND; 100.00 %; 100.00 %;
  6.;MWON; 100.00 %; 100.00 %;
  7.;SAIP; 100.00 %; 100.00 %;
  8.;TEJA; 100.00 %; 100.00 %;
  9.;TRPK;  80.00 %;  80.00 %;
 10.;AIMS-W; 100.00 %; 100.00 %;
 11.;ANTA-W; 100.00 %; 100.00 %;
 12.;ASII-R; 100.00 %; 100.00 %;
 13.;ASII-R2; 100.00 %; 100.00 %;
 14.;BASS-W; 100.00 %; 100.00 %;
 15.;BBNP-W; 100.00 %; 100.00 %;
 16.;BCAP-W; 100.00 %; 100.00 %;
 17.;BCIC-W; 100.00 %; 100.00 %;
 18.;BDPC-W; 100.00 %; 100.00 %;
 19.;BEKS-W; 100.00 %; 100.00 %;
 20.;BHIT-W; 100.00 %; 100.00 %;
 21.;BLTA-W; 100.00 %; 100.00 %;
 22.;BVIC-W; 100.00 %; 100.00 %;
 23.;BVIC-W3; 100.00 %; 100.00 %;
 24.;CENT-W; 100.00 %; 100.00 %;
 25.;CFIN-W; 100.00 %; 100.00 %;
 26.;CITA-W; 100.00 %; 100.00 %;
 27.;CLPI-W; 100.00 %; 100.00 %;
 28.;CNKO-W; 100.00 %; 100.00 %;
 29.;DNET-W; 100.00 %; 100.00 %;
 30.;DOID-W; 100.00 %; 100.00 %;
 31.;DSFI-W; 100.00 %; 100.00 %;
 32.;FORU-W; 100.00 %; 100.00 %;
 33.;GEMA-W; 100.00 %; 100.00 %;
 34.;IATG-W; 100.00 %; 100.00 %;
 35.;IDSR-W; 100.00 %; 100.00 %;
 36.;INTP-W; 100.00 %; 100.00 %;
 37.;ITTG-W; 100.00 %; 100.00 %;
 38.;JTPE-W; 100.00 %; 100.00 %;
 39.;KARK-W; 100.00 %; 100.00 %;
 40.;KARW-W; 100.00 %; 100.00 %;
 41.;KBLM-W; 100.00 %; 100.00 %;
 42.;KOPI-W; 100.00 %; 100.00 %;
 43.;KREN-W; 100.00 %; 100.00 %;
 44.;LAMI-W; 100.00 %; 100.00 %;
 45.;LAPD-W; 100.00 %; 100.00 %;
 46.;LMAS-W; 100.00 %; 100.00 %;
 47.;MAMI-R; 100.00 %; 100.00 %;
 48.;MANY-W; 100.00 %; 100.00 %;
 49.;META-W; 100.00 %; 100.00 %;
 50.;MLIA-W; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 2;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


 51.;MYRXPW; 100.00 %; 100.00 %;
 52.;PLAS-W; 100.00 %; 100.00 %;
 53.;PYFA-W; 100.00 %; 100.00 %;
 54.;RAJA-W1; 100.00 %; 100.00 %;
